PC1 PC2
2.96943 1.65417
1.186402 4.632371
-0.5430929 3.566177
-0.9153214 2.135867
-0.4833405 1.0487
1.475123 0.4861017
0.4820485 2.666376
0.04251063 1.109577
0.4862381 2.890958
1.76778 0.9951155
0.288508 1.228977
0.3056439 -1.052274
1.129381 2.571084
-0.6944722 2.25245
-1.470036 2.323924
-4.500587 2.478942
0.06082741 0.8957019
0.4361108 0.5184415
1.660063 -0.7571703
-0.8814113 -0.2326577
1.155819 0.5087583
0.09973316 0.2316514
1.625822 -0.1595286
1.76704 1.513726
-1.68837 -0.510174
0.3476099 1.636825
0.2101049 3.166987
1.259188 2.566251
0.3648973 0.7000445
2.984034 1.776295
1.011375 1.66293
0.4040466 0.1127362
1.470353 1.348121
-0.7889246 1.712037
0.5457763 2.594674
-1.290797 2.046819
-0.2514839 1.83438
-0.1257769 -0.4893137
-0.9226503 1.373282
-1.432592 0.2205098
-1.401478 1.731311
2.054026 2.363688
1.063459 3.04414
0.04126261 -0.7595295
1.69332 -2.728597
-1.480551 -1.482185
1.549159 1.627443
1.165722 1.404338
-0.5419672 1.334455
-1.867729 1.690949
-1.477458 0.7634454
-1.069399 -0.2710452
-1.852202 -0.3947288
0.8776833 0.9657704
1.575915 1.879878
1.936576 1.004472
0.9760359 2.054429
1.162961 -0.05042641
0.8146899 2.069324
-2.074814 0.4042227
0.8091634 4.166649
-1.018482 3.531213
0.1351845 1.555433
-2.414305 0.2146582
-0.8522396 0.7487558
-0.5466514 1.441893
0.6210056 0.2028178
-1.446687 -0.2404326
0.09707254 1.976961
-1.068787 1.470079
-0.903343 0.3133196
-0.2125433 -1.036901
0.5418078 -0.4749827
-0.01319193 1.863294
2.480768 1.306447
0.7709125 2.660477
0.7072558 3.159865
0.005065744 1.376198
-0.5325825 1.894471
-1.106436 1.499883
-0.6323592 1.193034
-2.2045 0.7649665
0.4789539 1.039303
-0.5679284 -0.1102532
1.559512 2.629761
2.206509 0.404786
0.01671287 -2.104396
1.984318 -1.135981
2.94434 -1.504942
2.062483 -0.3131904
1.794316 2.248869
2.156928 4.418
1.35561 2.77042
0.5808565 1.346284
0.9062611 1.571071
-2.510794 1.196427
-1.059323 1.87825
-1.318294 3.902934
-0.6950716 1.129694
-0.06784454 2.909331
-0.735967 0.2666335
-1.689625 0.1307277
1.968678 3.471708
-1.411001 2.392592
1.502024 1.968162
-0.3958645 1.130886
-1.733201 2.807149
0.004032209 1.176988
1.531613 0.839502
1.240005 1.889208
0.4046907 2.363301
0.6578483 0.5672443
0.9737564 2.976342
0.5855537 1.930283
1.564074 2.119184
0.2870187 2.135251
-1.270184 1.551149
0.1022699 0.8770921
0.5071551 0.3658019
1.229448 0.7138438
-2.337075 3.38737
-0.6002088 2.67812
0.1224091 3.654046
0.6029959 3.38244
0.3848718 2.638515
2.93419 1.690211
-0.2099118 1.519932
-0.3442123 2.584066
0.7057421 0.7741877
0.2598278 0.9988672
-0.1477596 0.4755517
-0.3518738 -1.176779
0.279281 0.004985492
1.33822 0.5133922
1.249219 0.6725851
0.02127759 1.794433
-2.04304 1.073784
1.416277 0.3543105
2.189259 2.267317
1.718533 -0.3915362
2.61742 0.976391
1.791839 1.366888
-0.1724322 2.080324
1.051972 -0.1785096
0.2506684 -0.3368494
0.8136717 -2.180682
2.736937 0.444215
0.2125574 -0.2939352
0.317669 0.01038736
0.2431151 1.747082
0.8145919 2.571431
-1.532662 4.031947
1.289147 2.912901
1.47822 0.09647269
0.8237504 1.813066
0.3194204 0.7657075
3.129341 2.097902
-1.268792 4.066624
1.365027 1.73767
0.2984059 0.6302419
0.2458486 1.02952
-2.137143 2.935367
-0.1407432 2.861675
0.3889742 3.264175
0.01904474 2.408494
-0.648251 2.1717
-0.8400954 0.4319611
-0.5789318 0.4058368
0.5555001 0.6311583
0.5588286 2.894768
-1.26632 0.6621142
1.173361 1.695413
0.3077663 0.9637924
-0.4651666 -2.125899
0.5158886 0.6023982
0.1626405 2.714262
-1.262176 1.035176
1.133817 3.711994
-1.628128 3.672274
2.735618 3.306334
-0.3167152 1.181947
